"entidad","municipio","tipo_de_fuente","pm_25","co","so2","nox"
"Puebla","Acajete","Fuentes fijas",9.284,38.683,2424.366,282.029
"Puebla","Acajete","Fuentes de área",106.562,750.302,2.781,31.949
"Puebla","Acajete","Fuentes móviles carreteros",49.722,1984.24,14.924,567.05
"Puebla","Acajete","Fuentes móviles que no circulan por carretera",2.281,10.698,1.032,85.311
"Puebla","Acateno","Fuentes de área",44.092,304.4,1.075,9.485
"Puebla","Acateno","Fuentes móviles carreteros",1.377,150.069,0.749,28.463
"Puebla","Acateno","Fuentes móviles que no circulan por carretera",0.521,2.828,0.307,8.785
"Puebla","Acatlán","Fuentes de área",98.794,694.283,2.523,25.836
"Puebla","Acatlán","Fuentes móviles carreteros",39.963,2571.222,15.661,591.856
"Puebla","Acatlán","Fuentes móviles que no circulan por carretera",0.371,2.014,0.219,6.258
"Puebla","Acatzingo","Fuentes de área",100.156,743.883,2.658,28.894
"Puebla","Acatzingo","Fuentes móviles carreteros",31.695,1471.863,10.294,387.101
"Puebla","Acatzingo","Fuentes móviles que no circulan por carretera",0.577,3.133,0.34,9.733
"Puebla","Acteopan","Fuentes de área",23.806,152.449,0.571,6.206
"Puebla","Acteopan","Fuentes móviles carreteros",0.037,26.389,0.111,4.987
"Puebla","Acteopan","Fuentes móviles que no circulan por carretera",0.109,0.589,0.064,1.83
"Puebla","Ahuacatlán","Fuentes de área",69.792,586.137,2.03,16.883
"Puebla","Ahuacatlán","Fuentes móviles carreteros",2.575,109.823,0.819,31.388
"Puebla","Ahuacatlán","Fuentes móviles que no circulan por carretera",0.086,0.469,0.051,1.458
"Puebla","Ahuatlán","Fuentes de área",20.555,152.067,0.54,4.361
"Puebla","Ahuatlán","Fuentes móviles carreteros",0.1,58.861,0.217,8.743
"Puebla","Ahuatlán","Fuentes móviles que no circulan por carretera",0.085,0.461,0.05,1.433
"Puebla","Ahuazotepec","Fuentes de área",29.837,221.465,0.889,7.651
"Puebla","Ahuazotepec","Fuentes móviles carreteros",53.192,385.934,9.131,294.255
"Puebla","Ahuazotepec","Fuentes móviles que no circulan por carretera",0.364,1.8,0.182,10.986
"Puebla","Ahuehuetitla","Fuentes de área",14.363,71.815,0.329,2.598
"Puebla","Ahuehuetitla","Fuentes móviles carreteros",1.358,187.275,0.916,35.58
"Puebla","Ahuehuetitla","Fuentes móviles que no circulan por carretera",0.115,0.624,0.068,1.939
"Puebla","Ajalpan","Fuentes de área",498.74,2554.433,9.741,86.208
"Puebla","Ajalpan","Fuentes móviles carreteros",20.491,701.746,5.788,222.385
"Puebla","Ajalpan","Fuentes móviles que no circulan por carretera",0.475,2.578,0.28,8.007
"Puebla","Albino Zertuche","Fuentes de área",8.616,66.167,0.231,2.014
"Puebla","Albino Zertuche","Fuentes móviles carreteros",0.143,39.047,0.163,6.333
"Puebla","Albino Zertuche","Fuentes móviles que no circulan por carretera",0.028,0.151,0.016,0.469
"Puebla","Aljojuca","Fuentes de área",22.837,142.485,0.774,5.312
"Puebla","Aljojuca","Fuentes móviles carreteros",4.269,208.15,1.357,51.572
"Puebla","Aljojuca","Fuentes móviles que no circulan por carretera",0.218,1.183,0.129,3.675
"Puebla","Altepexi","Fuentes de área",59.889,455.594,1.712,19.112
"Puebla","Altepexi","Fuentes móviles carreteros",5.567,457.312,2.516,96.039
"Puebla","Altepexi","Fuentes móviles que no circulan por carretera",0.883,4.121,0.396,33.55
"Puebla","Amixtlán","Fuentes de área",24.971,204.694,0.71,5.935
"Puebla","Amixtlán","Fuentes móviles carreteros",0.53,36.405,0.233,9.672
"Puebla","Amixtlán","Fuentes móviles que no circulan por carretera",0.068,0.369,0.04,1.148
"Puebla","Amozoc","Fuentes fijas",22.718,3.048,46.621,18.613
"Puebla","Amozoc","Fuentes de área",74.841,479.177,1.802,38.354
"Puebla","Amozoc","Fuentes móviles carreteros",55.681,2257.302,17.342,652.943
"Puebla","Amozoc","Fuentes móviles que no circulan por carretera",1.425,6.546,0.619,57.058
"Puebla","Aquixtla","Fuentes de área",46.974,383.821,1.596,14.615
"Puebla","Aquixtla","Fuentes móviles carreteros",2.636,200.734,1.137,44.395
"Puebla","Aquixtla","Fuentes móviles que no circulan por carretera",0.13,0.708,0.077,2.199
"Puebla","Atempan","Fuentes de área",92.702,772.962,2.688,24.134
"Puebla","Atempan","Fuentes móviles carreteros",5.499,531.338,2.78,103.245
"Puebla","Atempan","Fuentes móviles que no circulan por carretera",0.313,1.512,0.15,10.505
"Puebla","Atexcal","Fuentes de área",20.143,137.375,0.473,4.051
"Puebla","Atexcal","Fuentes móviles carreteros",0.204,66.031,0.26,10.075
"Puebla","Atexcal","Fuentes móviles que no circulan por carretera",0.152,0.823,0.089,2.556
"Puebla","Atlixco","Fuentes fijas",0.375,2.099,0,12.37
"Puebla","Atlixco","Fuentes de área",207.547,1601.323,5.797,71.936
"Puebla","Atlixco","Fuentes móviles carreteros",74.299,6970.126,37.634,1353.779
"Puebla","Atlixco","Fuentes móviles que no circulan por carretera",2.753,12.917,1.247,102.785
"Puebla","Atoyatempan","Fuentes de área",17.782,121.627,0.478,5.486
"Puebla","Atoyatempan","Fuentes móviles carreteros",4.337,325.241,1.844,69.657
"Puebla","Atoyatempan","Fuentes móviles que no circulan por carretera",0.11,0.595,0.065,1.849
"Puebla","Atzala","Fuentes fijas",0.002,0.011,0,0.064
"Puebla","Atzala","Fuentes de área",6.109,38.269,0.344,1.542
"Puebla","Atzala","Fuentes móviles carreteros",0.938,48.832,0.306,11.881
"Puebla","Atzala","Fuentes móviles que no circulan por carretera",0.032,0.175,0.019,0.542
"Puebla","Atzitzihuacán","Fuentes de área",52.685,366.897,1.328,11.742
"Puebla","Atzitzihuacán","Fuentes móviles carreteros",2.197,258.316,1.247,48.955
"Puebla","Atzitzihuacán","Fuentes móviles que no circulan por carretera",0.226,1.227,0.133,3.811
"Puebla","Atzitzintla","Fuentes de área",43.464,292.148,1.478,9.648
"Puebla","Atzitzintla","Fuentes móviles carreteros",4.583,221.712,1.473,57.946
"Puebla","Atzitzintla","Fuentes móviles que no circulan por carretera",0.394,2.141,0.233,6.65
"Puebla","Axutla","Fuentes de área",4.472,27.977,0.1,0.912
"Puebla","Axutla","Fuentes móviles carreteros",0.155,73.794,0.288,11.077
"Puebla","Axutla","Fuentes móviles que no circulan por carretera",0.035,0.192,0.021,0.598
"Puebla","Ayotoxco de Guerrero","Fuentes de área",39.671,294.642,1.038,9.263
"Puebla","Ayotoxco de Guerrero","Fuentes móviles carreteros",0.658,142.717,0.62,23.68
"Puebla","Ayotoxco de Guerrero","Fuentes móviles que no circulan por carretera",0.275,1.495,0.162,4.646
"Puebla","Calpan","Fuentes de área",38.317,292.718,1.096,10.072
"Puebla","Calpan","Fuentes móviles carreteros",5.166,394.803,2.219,85.506
"Puebla","Calpan","Fuentes móviles que no circulan por carretera",0.179,0.97,0.105,3.014
"Puebla","Caltepec","Fuentes de área",28.37,201.586,0.705,5.721
"Puebla","Caltepec","Fuentes móviles carreteros",0.678,66.56,0.326,12.645
"Puebla","Caltepec","Fuentes móviles que no circulan por carretera",0.149,0.811,0.088,2.519
"Puebla","Camocuautla","Fuentes de área",14.852,123.961,0.427,3.447
"Puebla","Camocuautla","Fuentes móviles carreteros",0.004,2.312,0.009,0.35
"Puebla","Camocuautla","Fuentes móviles que no circulan por carretera",0.025,0.135,0.015,0.418
"Puebla","Caxhuacan","Fuentes de área",17.681,147.085,0.507,4.262
"Puebla","Caxhuacan","Fuentes móviles carreteros",0.058,34.471,0.13,5.035
"Puebla","Caxhuacan","Fuentes móviles que no circulan por carretera",0.029,0.159,0.017,0.495
"Puebla","Coatepec","Fuentes de área",4.358,33.27,0.115,0.965
"Puebla","Coatepec","Fuentes móviles carreteros",0.005,2.892,0.012,0.444
"Puebla","Coatepec","Fuentes móviles que no circulan por carretera",0.026,0.142,0.015,0.441
"Puebla","Coatzingo","Fuentes de área",17.833,124.466,0.46,4.324
"Puebla","Coatzingo","Fuentes móviles carreteros",0.616,100.763,0.456,18.086
"Puebla","Coatzingo","Fuentes móviles que no circulan por carretera",0.133,0.72,0.078,2.237
"Puebla","Cohetzala","Fuentes de área",10.293,70.369,0.251,2.044
"Puebla","Cohetzala","Fuentes móviles carreteros",0.169,21.749,0.107,4.332
"Puebla","Cohetzala","Fuentes móviles que no circulan por carretera",0.06,0.327,0.036,1.016
"Puebla","Cohuecan","Fuentes de área",29.213,214.14,0.769,7.38
"Puebla","Cohuecan","Fuentes móviles carreteros",0.541,122.561,0.537,21.023
"Puebla","Cohuecan","Fuentes móviles que no circulan por carretera",0.103,0.558,0.061,1.735
"Puebla","Coronango","Fuentes fijas",0.678,4.456,0.032,5.306
"Puebla","Coronango","Fuentes de área",1918.602,4582.703,16.753,150.29
"Puebla","Coronango","Fuentes móviles carreteros",66.255,1600.657,16.358,604.296
"Puebla","Coronango","Fuentes móviles que no circulan por carretera",0.112,0.607,0.066,1.887
"Puebla","Coxcatlán","Fuentes de área",64.464,475.582,2.17,16.789
"Puebla","Coxcatlán","Fuentes móviles carreteros",5.22,464.273,2.528,95.861
"Puebla","Coxcatlán","Fuentes móviles que no circulan por carretera",1.62,7.451,0.706,64.643
"Puebla","Coyomeapan","Fuentes de área",94.321,650.692,2.628,20.044
"Puebla","Coyomeapan","Fuentes móviles carreteros",1.032,97.851,0.513,20.342
"Puebla","Coyomeapan","Fuentes móviles que no circulan por carretera",0.252,1.367,0.149,4.248
"Puebla","Coyotepec","Fuentes de área",12.594,68.049,0.236,2.35
"Puebla","Coyotepec","Fuentes móviles carreteros",0.746,96.385,0.456,17.059
"Puebla","Coyotepec","Fuentes móviles que no circulan por carretera",0.198,1.073,0.117,3.333
"Puebla","Cuapiaxtla de Madero","Fuentes de área",10.836,74.589,0.267,3.934
"Puebla","Cuapiaxtla de Madero","Fuentes móviles carreteros",5.018,351.489,2.066,77.932
"Puebla","Cuapiaxtla de Madero","Fuentes móviles que no circulan por carretera",0.648,2.941,0.275,26.979
"Puebla","Cuautempan","Fuentes de área",51.17,421.79,1.464,12.062
"Puebla","Cuautempan","Fuentes móviles carreteros",0.257,107.141,0.445,17.226
"Puebla","Cuautempan","Fuentes móviles que no circulan por carretera",0.117,0.633,0.069,1.968
"Puebla","Cuautinchán","Fuentes fijas",20.483,571.871,44.68,360.378
"Puebla","Cuautinchán","Fuentes de área",25.191,169.819,0.711,6.175
"Puebla","Cuautinchán","Fuentes móviles carreteros",3.234,248.143,1.457,57.404
"Puebla","Cuautinchán","Fuentes móviles que no circulan por carretera",0.229,1.245,0.135,3.866
"Puebla","Cuautlancingo","Fuentes fijas",589.436,723.002,10.813,666.482
"Puebla","Cuautlancingo","Fuentes de área",27.594,131.503,0.648,51.652
"Puebla","Cuautlancingo","Fuentes móviles carreteros",79.321,4183.771,28.155,1002.248
"Puebla","Cuautlancingo","Fuentes móviles que no circulan por carretera",0.053,0.286,0.031,0.889
"Puebla","Cuayuca de Andrade","Fuentes de área",21.204,144.824,0.513,4.228
"Puebla","Cuayuca de Andrade","Fuentes móviles carreteros",0.475,64.582,0.296,11.04
"Puebla","Cuayuca de Andrade","Fuentes móviles que no circulan por carretera",0.167,0.908,0.099,2.822
"Puebla","Cuetzalan del Progreso","Fuentes de área",208.777,1741.717,6.032,51.76
"Puebla","Cuetzalan del Progreso","Fuentes móviles carreteros",5.257,456.216,2.507,93.487
"Puebla","Cuetzalan del Progreso","Fuentes móviles que no circulan por carretera",0.457,2.479,0.269,7.703
"Puebla","Cuyoaco","Fuentes de área",111.72,552.994,1.709,19.108
"Puebla","Cuyoaco","Fuentes móviles carreteros",9.961,555.763,3.56,135.442
"Puebla","Cuyoaco","Fuentes móviles que no circulan por carretera",2.616,12.854,1.292,81.636
"Puebla","Chalchicomula de Sesma","Fuentes de área",100.207,669.837,3.942,29.813
"Puebla","Chalchicomula de Sesma","Fuentes móviles carreteros",22.508,1350.134,8.367,308.843
"Puebla","Chalchicomula de Sesma","Fuentes móviles que no circulan por carretera",2.262,11.146,1.123,69.69
"Puebla","Chapulco","Fuentes de área",29.413,153.168,0.675,6.297
"Puebla","Chapulco","Fuentes móviles carreteros",1.71,143.327,0.795,31.548
"Puebla","Chapulco","Fuentes móviles que no circulan por carretera",1.025,4.595,0.425,44.151
"Puebla","Chiautla","Fuentes de área",77.325,483.107,1.851,17.163
"Puebla","Chiautla","Fuentes móviles carreteros",6.148,711.023,3.551,132.69
"Puebla","Chiautla","Fuentes móviles que no circulan por carretera",0.47,2.551,0.277,7.925
"Puebla","Chiautzingo","Fuentes de área",42.594,319.715,1.115,11.844
"Puebla","Chiautzingo","Fuentes móviles carreteros",7.167,554.102,3.181,125.026
"Puebla","Chiautzingo","Fuentes móviles que no circulan por carretera",0.231,1.254,0.136,3.896
"Puebla","Chiconcuautla","Fuentes de área",80.082,673.441,2.325,18.794
"Puebla","Chiconcuautla","Fuentes móviles carreteros",0.182,51.898,0.209,8.132
"Puebla","Chiconcuautla","Fuentes móviles que no circulan por carretera",0.126,0.683,0.074,2.121
"Puebla","Chichiquila","Fuentes de área",111.717,920.708,3.193,25.852
"Puebla","Chichiquila","Fuentes móviles carreteros",0.928,60.884,0.369,14.706
"Puebla","Chichiquila","Fuentes móviles que no circulan por carretera",0.203,1.103,0.12,3.426
"Puebla","Chietla","Fuentes fijas",1308.175,372.699,0,223.62
"Puebla","Chietla","Fuentes de área",116.056,816.779,5.854,33.183
"Puebla","Chietla","Fuentes móviles carreteros",11.454,1195.582,6.175,233.82
"Puebla","Chietla","Fuentes móviles que no circulan por carretera",1.879,8.879,0.862,68.457
"Puebla","Chigmecatitlán","Fuentes de área",5.351,42.013,0.15,2.313
"Puebla","Chigmecatitlán","Fuentes móviles carreteros",0.019,12.717,0.052,2.049
"Puebla","Chigmecatitlán","Fuentes móviles que no circulan por carretera",0.019,0.105,0.011,0.326
"Puebla","Chignahuapan","Fuentes de área",373.377,2019.508,7.16,66.986
"Puebla","Chignahuapan","Fuentes móviles carreteros",53.558,1502.993,13.595,501.431
"Puebla","Chignahuapan","Fuentes móviles que no circulan por carretera",1.363,7.402,0.804,22.994
"Puebla","Chignautla","Fuentes fijas",0.102,0.571,0,3.366
"Puebla","Chignautla","Fuentes de área",84.153,649.622,2.429,23.761
"Puebla","Chignautla","Fuentes móviles carreteros",7.198,520.029,3.12,113.958
"Puebla","Chignautla","Fuentes móviles que no circulan por carretera",19.499,117.641,8.448,249.158
"Puebla","Chila","Fuentes de área",52.367,537.149,4.072,16.171
"Puebla","Chila","Fuentes móviles carreteros",4.681,376.322,2.074,80.433
"Puebla","Chila","Fuentes móviles que no circulan por carretera",0.059,0.323,0.035,1.003
"Puebla","Chila de la Sal","Fuentes de área",7.057,55.725,0.193,1.656
"Puebla","Chila de la Sal","Fuentes móviles carreteros",0.086,46.149,0.188,7.309
"Puebla","Chila de la Sal","Fuentes móviles que no circulan por carretera",0.019,0.102,0.011,0.318
"Puebla","Honey","Fuentes de área",39.511,304.622,1.073,9.019
"Puebla","Honey","Fuentes móviles carreteros",5.592,98.364,1.199,42.35
"Puebla","Honey","Fuentes móviles que no circulan por carretera",0.168,0.913,0.099,2.837
"Puebla","Chilchotla","Fuentes de área",94.398,773.416,3.275,22.576
"Puebla","Chilchotla","Fuentes móviles carreteros",3.518,194.859,1.236,47.703
"Puebla","Chilchotla","Fuentes móviles que no circulan por carretera",0.296,1.605,0.174,4.985
"Puebla","Chinantla","Fuentes de área",8.538,51.566,0.187,1.803
"Puebla","Chinantla","Fuentes móviles carreteros",2.955,166.972,1.061,38.819
"Puebla","Chinantla","Fuentes móviles que no circulan por carretera",1.012,6.1,0.445,12.686
"Puebla","Domingo Arenas","Fuentes de área",15.007,112.998,0.399,4.224
"Puebla","Domingo Arenas","Fuentes móviles carreteros",2.013,193.012,1.011,39.029
"Puebla","Domingo Arenas","Fuentes móviles que no circulan por carretera",0.073,0.395,0.043,1.226
"Puebla","Eloxochitlán","Fuentes de área",72.85,588.792,2.043,16.357
"Puebla","Eloxochitlán","Fuentes móviles carreteros",0.013,7.437,0.028,1.111
"Puebla","Eloxochitlán","Fuentes móviles que no circulan por carretera",0.264,1.433,0.156,4.452
"Puebla","Epatlán","Fuentes de área",22.622,161.398,0.846,5.613
"Puebla","Epatlán","Fuentes móviles carreteros",1.067,157.164,0.731,27.232
"Puebla","Epatlán","Fuentes móviles que no circulan por carretera",0.104,0.566,0.061,1.758
"Puebla","Esperanza","Fuentes de área",26.967,158.322,0.588,7.481
"Puebla","Esperanza","Fuentes móviles carreteros",7.929,403.776,2.734,104.204
"Puebla","Esperanza","Fuentes móviles que no circulan por carretera",1.723,7.963,0.758,67.684
"Puebla","Francisco Z. Mena","Fuentes de área",90.546,640.838,2.258,19.028
"Puebla","Francisco Z. Mena","Fuentes móviles carreteros",2.568,179.254,1.024,38.719
"Puebla","Francisco Z. Mena","Fuentes móviles que no circulan por carretera",1.018,5.528,0.601,17.175
"Puebla","General Felipe Ángeles","Fuentes de área",34.431,219.462,0.774,9.201
"Puebla","General Felipe Ángeles","Fuentes móviles carreteros",6.489,512.609,2.911,114.03
"Puebla","General Felipe Ángeles","Fuentes móviles que no circulan por carretera",0.359,1.948,0.212,6.051
"Puebla","Guadalupe","Fuentes de área",29.549,200.195,0.714,6.24
"Puebla","Guadalupe","Fuentes móviles carreteros",3.295,371.888,1.861,72.562
"Puebla","Guadalupe","Fuentes móviles que no circulan por carretera",0.255,1.385,0.15,4.302
"Puebla","Guadalupe Victoria","Fuentes de área",38.261,225.04,0.91,9.526
"Puebla","Guadalupe Victoria","Fuentes móviles carreteros",7.742,335.776,2.424,92.926
"Puebla","Guadalupe Victoria","Fuentes móviles que no circulan por carretera",0.47,2.554,0.278,7.934
"Puebla","Hermenegildo Galeana","Fuentes de área",41.34,344.987,1.193,9.763
"Puebla","Hermenegildo Galeana","Fuentes móviles carreteros",0.819,15.113,0.203,7.657
"Puebla","Hermenegildo Galeana","Fuentes móviles que no circulan por carretera",0.087,0.47,0.051,1.46
"Puebla","Huaquechula","Fuentes de área",114.444,758.282,2.861,24.348
"Puebla","Huaquechula","Fuentes móviles carreteros",5.062,743.994,3.44,132.27
"Puebla","Huaquechula","Fuentes móviles que no circulan por carretera",4.155,23.674,1.888,75.435
"Puebla","Huatlatlauca","Fuentes de área",33.538,256.587,0.892,7.911
"Puebla","Huatlatlauca","Fuentes móviles carreteros",0.999,174.376,0.759,29.3
"Puebla","Huatlatlauca","Fuentes móviles que no circulan por carretera",0.161,0.875,0.095,2.718
"Puebla","Huauchinango","Fuentes fijas",0,3.483,2.962,64.47
"Puebla","Huauchinango","Fuentes de área",162.5,1306.323,4.675,53.563
"Puebla","Huauchinango","Fuentes móviles carreteros",91.653,3231.249,26.683,979.921
"Puebla","Huauchinango","Fuentes móviles que no circulan por carretera",0.2,1.083,0.118,3.365
"Puebla","Huehuetla","Fuentes de área",88.97,740.069,2.585,21.033
"Puebla","Huehuetla","Fuentes móviles carreteros",0.313,71.808,0.305,11.552
"Puebla","Huehuetla","Fuentes móviles que no circulan por carretera",0.761,4.53,0.349,9.94
"Puebla","Huehuetlán el Chico","Fuentes de área",41.116,290.406,1.153,9.301
"Puebla","Huehuetlán el Chico","Fuentes móviles carreteros",1.614,230.11,1.106,43.221
"Puebla","Huehuetlán el Chico","Fuentes móviles que no circulan por carretera",0.187,1.014,0.11,3.149
"Puebla","Huejotzingo","Fuentes fijas",38.182,477.981,175.461,3184.815
"Puebla","Huejotzingo","Fuentes de área",85.408,522.288,1.991,38.716
"Puebla","Huejotzingo","Fuentes móviles carreteros",56.563,2440.12,18.233,692.192
"Puebla","Huejotzingo","Fuentes móviles que no circulan por carretera",1.278,6.127,0.603,44.14
"Puebla","Hueyapan","Fuentes de área",53.058,434.841,1.51,13.447
